Index, Register(Num), Data Label, Unit, Scale, Access 
66,30642(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #05), , x100, RO
67,30643(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #05), %, x1, RO
68,30647(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #06), , x1, RO
69,30648(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #06), A AC, x10, RO
70,30649(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #06), A AC, x10, RO
71,30650(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #06), A AC, x10, RO
72,30651(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #06), kW, x1000, RO
73,30652(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #06), kWH, x1000, RO
74,30654(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #06), , x100, RO
75,30655(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #06), %, x1, RO
76,30659(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #07), , x1, RO
77,30660(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #07), A AC, x10, RO
78,30661(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #07), A AC, x10, RO
79,30662(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #07), A AC, x10, RO
80,30663(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #07), kW, x1000, RO
81,30664(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #07), kWH, x1000, RO
82,30666(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #07), , x100, RO
83,30667(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #07), %, x1, RO
84,30671(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #08), , x1, RO
85,30672(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #08), A AC, x10, RO
86,30673(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #08), A AC, x10, RO
87,30674(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #08), A AC, x10, RO
88,30675(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #08), kW, x1000, RO
89,30676(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #08), kWH, x1000, RO
90,30678(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #08), , x100, RO
91,30679(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #08), %, x1, RO
92,30683(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #09), , x1, RO
93,30684(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #09), A AC, x10, RO
94,30685(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #09), A AC, x10, RO
95,30686(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #09), A AC, x10, RO
96,30687(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #09), kW, x1000, RO
97,30688(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #09), kWH, x1000, RO
98,30690(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #09), , x100, RO
99,30691(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #09), %, x1, RO
100,30695(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #10), , x1, RO
101,30696(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #10), A AC, x10, RO
102,30697(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #10), A AC, x10, RO
103,30698(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #10), A AC, x10, RO
104,30699(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #10), kW, x1000, RO
105,30700(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #10), kWH, x1000, RO
106,30702(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #10), , x100, RO
107,30703(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #10), %, x1, RO
108,30707(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #11), , x1, RO
109,30708(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #11), A AC, x10, RO
110,30709(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #11), A AC, x10, RO
111,30710(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #11), A AC, x10, RO
112,30711(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #11), kW, x1000, RO
113,30712(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #11), kWH, x1000, RO
114,30714(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #11), , x100, RO
115,30715(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #11), %, x1, RO
116,30719(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #12), , x1, RO
117,30720(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #12), A AC, x10, RO
118,30721(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #12), A AC, x10, RO
119,30722(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #12), A AC, x10, RO
120,30723(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #12), kW, x1000, RO
121,30724(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #12), kWH, x1000, RO
122,30726(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #12), , x100, RO
123,30727(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #12), %, x1, RO
124,30731(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #13), , x1, RO
125,30732(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #13), A AC, x10, RO
126,30733(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #13), A AC, x10, RO
127,30734(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #13), A AC, x10, RO
128,30735(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #13), kW, x1000, RO
129,30736(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #13), kWH, x1000, RO
130,30738(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #13), , x100, RO
131,30739(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #13), %, x1, RO
132,30743(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #14), , x1, RO
133,30744(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #14), A AC, x10, RO
134,30745(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #14), A AC, x10, RO
135,30746(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #14), A AC, x10, RO
136,30747(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #14), kW, x1000, RO
137,30748(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #14), kWH, x1000, RO
138,30750(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #14), , x100, RO
139,30751(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #14), %, x1, RO
140,30755(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #15), , x1, RO
141,30756(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #15), A AC, x10, RO
142,30757(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #15), A AC, x10, RO
143,30758(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #15), A AC, x10, RO
144,30759(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #15), kW, x1000, RO
145,30760(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #15), kWH, x1000, RO
146,30762(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #15), , x100, RO
147,30763(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #15), %, x1, RO
148,30767(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #16), , x1, RO
149,30768(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #16), A AC, x10, RO
150,30769(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #16), A AC, x10, RO
151,30770(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #16), A AC, x10, RO
152,30771(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #16), kW, x1000, RO
153,30772(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #16), kWH, x1000, RO
154,30774(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #16), , x100, RO
155,30775(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #16), %, x1, RO
156,30779(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #17), , x1, RO
157,30780(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #17), A AC, x10, RO
158,30781(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #17), A AC, x10, RO
159,30782(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #17), A AC, x10, RO
160,30783(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #17), kW, x1000, RO
161,30784(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #17), kWH, x1000, RO
