Index, Register(Num), Data Label, Unit, Scale, Access 
274,30954(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #31), , x100, RO
275,30955(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #31), %, x1, RO
276,30959(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #32), , x1, RO
277,30960(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #32), A AC, x10, RO
278,30961(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #32), A AC, x10, RO
279,30962(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #32), A AC, x10, RO
280,30963(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #32), kW, x1000, RO
281,30964(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #32), kWH, x1000, RO
282,30966(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #32), , x100, RO
283,30967(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #32), %, x1, RO
284,30971(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #33), , x1, RO
285,30972(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #33), A AC, x10, RO
286,30973(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #33), A AC, x10, RO
287,30974(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #33), A AC, x10, RO
288,30975(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #33), kW, x1000, RO
289,30976(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #33), kWH, x1000, RO
290,30978(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #33), , x100, RO
291,30979(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #33), %, x1, RO
292,30983(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #34), , x1, RO
293,30984(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #34), A AC, x10, RO
294,30985(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #34), A AC, x10, RO
295,30986(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #34), A AC, x10, RO
296,30987(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #34), kW, x1000, RO
297,30988(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #34), kWH, x1000, RO
298,30990(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #34), , x100, RO
299,30991(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #34), %, x1, RO
300,30995(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #35), , x1, RO
301,30996(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #35), A AC, x10, RO
302,30997(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #35), A AC, x10, RO
303,30998(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #35), A AC, x10, RO
304,30999(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #35), kW, x1000, RO
305,31000(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #35), kWH, x1000, RO
306,31002(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #35), , x100, RO
307,31003(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #35), %, x1, RO
308,31007(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #36), , x1, RO
309,31008(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #36), A AC, x10, RO
310,31009(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #36), A AC, x10, RO
311,31010(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #36), A AC, x10, RO
312,31011(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #36), kW, x1000, RO
313,31012(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #36), kWH, x1000, RO
314,31014(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #36), , x100, RO
315,31015(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #36), %, x1, RO
316,31019(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #37), , x1, RO
317,31020(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #37), A AC, x10, RO
318,31021(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #37), A AC, x10, RO
319,31022(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #37), A AC, x10, RO
320,31023(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #37), kW, x1000, RO
321,31024(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #37), kWH, x1000, RO
322,31026(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #37), , x100, RO
323,31027(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #37), %, x1, RO
324,31031(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #38), , x1, RO
325,31032(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #38), A AC, x10, RO
326,31033(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #38), A AC, x10, RO
327,31034(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #38), A AC, x10, RO
328,31035(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #38), kW, x1000, RO
329,31036(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #38), kWH, x1000, RO
330,31038(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #38), , x100, RO
331,31039(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #38), %, x1, RO
332,31043(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #39), , x1, RO
333,31044(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #39), A AC, x10, RO
334,31045(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #39), A AC, x10, RO
335,31046(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #39), A AC, x10, RO
336,31047(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #39), kW, x1000, RO
337,31048(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #39), kWH, x1000, RO
338,31050(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #39), , x100, RO
339,31051(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #39), %, x1, RO
340,31055(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #40), , x1, RO
341,31056(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #40), A AC, x10, RO
342,31057(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #40), A AC, x10, RO
343,31058(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #40), A AC, x10, RO
344,31059(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #40), kW, x1000, RO
345,31060(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #40), kWH, x1000, RO
346,31062(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #40), , x100, RO
347,31063(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #40), %, x1, RO
348,31067(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #41), , x1, RO
349,31068(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #41), A AC, x10, RO
350,31069(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #41), A AC, x10, RO
351,31070(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #41), A AC, x10, RO
352,31071(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #41), kW, x1000, RO
353,31072(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #41), kWH, x1000, RO
354,31074(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #41), , x100, RO
355,31075(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #41), %, x1, RO
356,31079(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #42), , x1, RO
357,31080(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #42), A AC, x10, RO
358,31081(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #42), A AC, x10, RO
359,31082(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #42), A AC, x10, RO
360,31083(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #42), kW, x1000, RO
361,31084(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #42), kWH, x1000, RO
362,31086(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #42), , x100, RO
363,31087(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #42), %, x1, RO
364,31091(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #43), , x1, RO
365,31092(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #43), A AC, x10, RO
366,31093(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #43), A AC, x10, RO
367,31094(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #43), A AC, x10, RO
368,31095(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #43), kW, x1000, RO
369,31096(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #43), kWH, x1000, RO
370,31098(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #43), , x100, RO
371,31099(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #43), %, x1, RO
372,31103(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #44), , x1, RO
373,31104(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #44), A AC, x10, RO
374,31105(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #44), A AC, x10, RO
375,31106(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #44), A AC, x10, RO
376,31107(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #44), kW, x1000, RO
377,31108(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #44), kWH, x1000, RO
378,31110(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #44), , x100, RO
379,31111(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #44), %, x1, RO
380,31115(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #45), , x1, RO
381,31116(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #45), A AC, x10, RO
382,31117(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #45), A AC, x10, RO
383,31118(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #45), A AC, x10, RO
384,31119(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #45), kW, x1000, RO
385,31120(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #45), kWH, x1000, RO
386,31122(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #45), , x100, RO
387,31123(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #45), %, x1, RO
388,31127(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #46), , x1, RO
389,31128(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #46), A AC, x10, RO
390,31129(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #46), A AC, x10, RO
391,31130(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #46), A AC, x10, RO
392,31131(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #46), kW, x1000, RO
393,31132(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #46), kWH, x1000, RO
394,31134(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #46), , x100, RO
395,31135(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #46), %, x1, RO
396,31139(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #47), , x1, RO
397,31140(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #47), A AC, x10, RO
398,31141(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #47), A AC, x10, RO
399,31142(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #47), A AC, x10, RO
400,31143(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #47), kW, x1000, RO
401,31144(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #47), kWH, x1000, RO
402,31146(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #47), , x100, RO
403,31147(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #47), %, x1, RO
404,31151(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #48), , x1, RO
405,31152(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #48), A AC, x10, RO
406,31153(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #48), A AC, x10, RO
407,31154(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #48), A AC, x10, RO
408,31155(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #48), kW, x1000, RO
409,31156(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #48), kWH, x1000, RO
410,31158(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #48), , x100, RO
411,31159(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #48), %, x1, RO
412,31163(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #49), , x1, RO
413,31164(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #49), A AC, x10, RO
414,31165(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #49), A AC, x10, RO
415,31166(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #49), A AC, x10, RO
416,31167(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #49), kW, x1000, RO
417,31168(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #49), kWH, x1000, RO
418,31170(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #49), , x100, RO
419,31171(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #49), %, x1, RO
420,31175(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #50), , x1, RO
421,31176(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #50), A AC, x10, RO
422,31177(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #50), A AC, x10, RO
423,31178(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #50), A AC, x10, RO
424,31179(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #50), kW, x1000, RO
425,31180(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #50), kWH, x1000, RO
426,31182(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #50), , x100, RO
427,31183(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #50), %, x1, RO
428,31187(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #51), , x1, RO
429,31188(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #51), A AC, x10, RO
430,31189(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #51), A AC, x10, RO
431,31190(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #51), A AC, x10, RO
432,31191(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #51), kW, x1000, RO
433,31192(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #51), kWH, x1000, RO
434,31194(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #51), , x100, RO
435,31195(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #51), %, x1, RO
436,31199(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #52), , x1, RO
437,31200(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #52), A AC, x10, RO
438,31201(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #52), A AC, x10, RO
439,31202(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #52), A AC, x10, RO
440,31203(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #52), kW, x1000, RO
441,31204(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #52), kWH, x1000, RO
442,31206(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #52), , x100, RO
443,31207(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #52), %, x1, RO
444,31211(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #53), , x1, RO
445,31212(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #53), A AC, x10, RO
446,31213(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #53), A AC, x10, RO
447,31214(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #53), A AC, x10, RO
448,31215(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #53), kW, x1000, RO
449,31216(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #53), kWH, x1000, RO
450,31218(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #53), , x100, RO
451,31219(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #53), %, x1, RO
452,31223(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #54), , x1, RO
453,31224(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #54), A AC, x10, RO
454,31225(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #54), A AC, x10, RO
455,31226(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #54), A AC, x10, RO
456,31227(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #54), kW, x1000, RO
457,31228(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #54), kWH, x1000, RO
458,31230(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #54), , x100, RO
459,31231(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #54), %, x1, RO
460,31235(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #55), , x1, RO
461,31236(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #55), A AC, x10, RO
462,31237(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #55), A AC, x10, RO
463,31238(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #55), A AC, x10, RO
464,31239(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #55), kW, x1000, RO
465,31240(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #55), kWH, x1000, RO
466,31242(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #55), , x100, RO
467,31243(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #55), %, x1, RO
468,31247(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #56), , x1, RO
469,31248(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #56), A AC, x10, RO
470,31249(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #56), A AC, x10, RO
471,31250(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #56), A AC, x10, RO
472,31251(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #56), kW, x1000, RO
473,31252(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #56), kWH, x1000, RO
474,31254(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #56), , x100, RO
475,31255(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #56), %, x1, RO
476,31259(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #57), , x1, RO
477,31260(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #57), A AC, x10, RO
478,31261(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #57), A AC, x10, RO
479,31262(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #57), A AC, x10, RO
480,31263(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #57), kW, x1000, RO
481,31264(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #57), kWH, x1000, RO
482,31266(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #57), , x100, RO
483,31267(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #57), %, x1, RO
484,31271(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #58), , x1, RO
485,31272(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #58), A AC, x10, RO
486,31273(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #58), A AC, x10, RO
487,31274(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #58), A AC, x10, RO
488,31275(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #58), kW, x1000, RO
489,31276(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #58), kWH, x1000, RO
490,31278(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #58), , x100, RO
491,31279(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #58), %, x1, RO
492,31283(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #59), , x1, RO
493,31284(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #59), A AC, x10, RO
494,31285(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #59), A AC, x10, RO
495,31286(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #59), A AC, x10, RO
496,31287(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #59), kW, x1000, RO
497,31288(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #59), kWH, x1000, RO
498,31290(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #59), , x100, RO
499,31291(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #59), %, x1, RO
500,31295(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #60), , x1, RO
501,31296(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #60), A AC, x10, RO
502,31297(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #60), A AC, x10, RO
503,31298(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #60), A AC, x10, RO
504,31299(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #60), kW, x1000, RO
505,31300(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #60), kWH, x1000, RO
506,31302(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #60), , x100, RO
507,31303(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #60), %, x1, RO
508,31307(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #61), , x1, RO
509,31308(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #61), A AC, x10, RO
510,31309(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #61), A AC, x10, RO
511,31310(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #61), A AC, x10, RO
512,31311(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #61), kW, x1000, RO
513,31312(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #61), kWH, x1000, RO
514,31314(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #61), , x100, RO
515,31315(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #61), %, x1, RO
516,31319(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #62), , x1, RO
517,31320(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #62), A AC, x10, RO
518,31321(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #62), A AC, x10, RO
519,31322(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #62), A AC, x10, RO
520,31323(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #62), kW, x1000, RO
521,31324(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #62), kWH, x1000, RO
522,31326(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #62), , x100, RO
523,31327(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #62), %, x1, RO
524,31331(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #63), , x1, RO
525,31332(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #63), A AC, x10, RO
526,31333(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #63), A AC, x10, RO
527,31334(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #63), A AC, x10, RO
528,31335(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #63), kW, x1000, RO
529,31336(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #63), kWH, x1000, RO
530,31338(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #63), , x100, RO
531,31339(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #63), %, x1, RO
532,31343(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #64), , x1, RO
533,31344(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #64), A AC, x10, RO
534,31345(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #64), A AC, x10, RO
535,31346(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #64), A AC, x10, RO
536,31347(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #64), kW, x1000, RO
537,31348(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #64), kWH, x1000, RO
538,31350(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #64), , x100, RO
539,31351(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #64), %, x1, RO
540,31355(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #65), , x1, RO
541,31356(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #65), A AC, x10, RO
542,31357(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #65), A AC, x10, RO
543,31358(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #65), A AC, x10, RO
544,31359(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #65), kW, x1000, RO
545,31360(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #65), kWH, x1000, RO
546,31362(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #65), , x100, RO
547,31363(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #65), %, x1, RO
548,31367(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #66), , x1, RO
